IdCourse;Name;WorkLoad;Credits;StudentsCount
1;Língua portuguesa;50;0
2;Língua Inglesa;50;0
3;Matemática;50;0
4;Empresa estrutura e funções;25;0
5;Arquitetura de hardware;25;0
6;Sistemas de informação - fundamentos;25;0
7;Sistemas de informação - conceção;25;0
8;Engenharia de software;25;0
9;Bases de dados - conceitos;25;0
10;Bases de dados - sistemas de gestão;25;0
11;Criação de estrutura de base de dados em SQL;25;0
12;Programação em SQL;25;0
13;Programação Algoritmos;25;0
14;Programação de computadores - estruturada;50;0
15;Programação de computadores - orientada a objetos;50;0
16;Programação para a WEB - cliente (client-side);50;0
17;WEB - hipermédia e acessibilidades;25;0
18;WEB - ferramentas multimédia;25;0
19;Programação para a WEB - servidor (server-side);50;0
20;Redes de comunicação de dados;25;0
21;Segurança em sistemas informáticos;25;0
22;Sistemas operativos open source;25;0
23;Sistema operativo servidor (plataforma proprietária);25;0
24;Integração de sistemas de informação - conceitos;25;0
25;Integração de sistemas de informação - tecnologias e níveis de Integração;50;0
26;Integração de sistemas de informação - ferramentas;25;0
27;Acesso móvel a sistemas de informação;50;0
28;Planeamento e gestão de projetos de sistemas de informação;25;0
29;Projeto de tecnologias e programação de sistemas de informação;50;0
30;Formação Prática em Contexto de Trabalho;400;0
31;teste-1;30;0
32;teste-1;30;0
33;teste-1;30;0
34;teste-1;30;0
35;teste-7;70;0
36;teste-54;300;0
37;teste-1;30;0
38;teste-1;30;0
39;teste-1;30;0
40;teste-1;30;0
41;teste-7;70;0
42;teste-54;300;0
43;teste-1;30;0
44;teste-1;30;0
45;teste-1;30;0
46;teste-1;30;0
47;teste-7;70;0
48;teste-54;300;0
49;Língua portuguesa;50;0
50;Língua Inglesa;50;0
51;Matemática;50;0
52;Empresa estrutura e funções;25;0
53;Arquitetura de hardware;25;0
54;Sistemas de informação - fundamentos;25;0
55;Sistemas de informação - conceção;25;0
56;Engenharia de software;25;0
57;Bases de dados - conceitos;25;0
58;Bases de dados - sistemas de gestão;25;0
59;Criação de estrutura de base de dados em SQL;25;0
60;Programação em SQL;25;0
61;Programação Algoritmos;25;0
62;Programação de computadores - estruturada;50;0
63;Programação de computadores - orientada a objetos;50;0
64;Programação para a WEB - cliente (client-side);50;0
65;WEB - hipermédia e acessibilidades;25;0
66;WEB - ferramentas multimédia;25;0
67;Programação para a WEB - servidor (server-side);50;0
68;Redes de comunicação de dados;25;0
69;Segurança em sistemas informáticos;25;0
70;Sistemas operativos open source;25;0
71;Sistema operativo servidor (plataforma proprietária);25;0
72;Integração de sistemas de informação - conceitos;25;0
73;Integração de sistemas de informação - tecnologias e níveis de Integração;50;0
74;Integração de sistemas de informação - ferramentas;25;0
75;Acesso móvel a sistemas de informação;50;0
76;Planeamento e gestão de projetos de sistemas de informação;25;0
77;Projeto de tecnologias e programação de sistemas de informação;50;0
78;Formação Prática em Contexto de Trabalho;400;0
